MONTH_REPORTED,DRIVER_START_MONTH,CITY,STATE,ZIP,NUMBER_OF_TRIPS,MULTIPLE_TNPS
2022-01,2019-06,Chicago,IL,60622,157,false
2022-01,2021-07,Chicago,IL,60624,182,false
2022-01,2018-01,Oak Forest,IL,60452,7,false
2022-01,2021-11,Chicago,IL,60628,7,false
2022-01,2021-11,Chicago,IL,60628,7,false
2022-01,2014-06,Minooka,IL,60447,22,true
2022-01,2020-03,Chicago,IL,60644,91,true
2022-01,2021-09,Chicago,IL,60645,12,false
2022-01,2017-10,Chicago,IL,60659,113,true
2022-01,2021-06,North Chicago,IL,60064,57,false
2022-01,2017-01,Chicago,IL,60632,339,false
2022-01,2021-10,Chicago,IL,60629,167,false
2022-01,2020-12,Hickory Hills,IL,60457,32,false
2022-01,2018-08,Westmont,IL,60559,0,false
2022-01,2021-09,Richmond,CA,94806,274,false
2022-01,2021-02,Chicago,IL,60641,208,true
2022-01,2021-02,Skokie,IL,60077,211,false
2022-01,2016-01,Wortail,IL,60482,266,true
2022-01,2017-09,Chicago,IL,60621,187,false
2022-01,2021-06,Chicago,IL,60623,181,true
2022-01,2021-08,Chicago,IL,60645,4,false
2022-01,2021-12,Chicago,IL,60606,42,false
2022-01,2021-12,Chicago,IL,60606,42,false
2022-01,2017-12,Chicago,IL,60660,67,true
2022-01,2021-05,Chicago,IL,60629,127,false
2022-01,2018-10,Chicago,IL,60616,0,true
2022-01,2018-05,Chicago,IL,60622,11,true
2022-01,2017-03,Chicago,IL,60609,62,false
2022-01,2021-09,Chicago,IL,60623,108,false
2022-01,2019-08,Chicago,IL,60628,52,false
2022-01,2018-12,Chicago,IL,60641,27,true
2022-01,2021-08,Dix Hills,NY,11746,0,false
2022-01,2018-11,Chicago,IL,60636,89,false
2022-01,2021-05,Glenview,IL,60025,0,false
2022-01,2020-05,Blue Island,IL,60406,1,false
2022-01,2019-04,Chicago,IL,60605,91,false
2022-01,2021-09,Hoffman Estates,IL,60192,114,false
2022-01,2016-08,Chicago,IL,60640,303,false
2022-01,2018-07,Park City,IL,60085,8,true
2022-01,2021-04,Riverdale,IL,60827,0,false
2022-01,2020-11,Bloomington,IL,61704,4,false
2022-01,2015-10,Orland Park,IL,60462,24,false
2022-01,2021-04,Lynwood,IL,60411,0,false
2022-01,2021-04,Lynwood,IL,60411,0,false
2022-01,2020-09,Montgomery,IL,60538,53,false
2022-01,2017-09,Robbins,IL,60472,10,false
2022-01,2022-01,Joliet,IL,60432,2,false
2022-01,2021-05,,IN,,3,false
2022-01,2016-05,Lake Forest,IL,60045,148,true
2022-01,2017-08,Oak Park,IL,60304,132,true
2022-01,2022-01,Stockton,CA,95204,0,false
2022-01,2021-07,Des Plaines,IL,60016,32,false
2022-01,2021-11,Chicago,IL,60651,5,false
2022-01,2019-10,,WA,,3,false
2022-01,2018-02,Chicago,IL,60619,142,false
2022-01,2017-10,Evanston,IL,60201,0,true
2022-01,2021-08,Chicago,IL,60606,45,false
2022-01,2019-10,Chicago,IL,60630,0,false
2022-01,2018-02,Chicago,IL,60625,18,true
2022-01,2020-12,Chicago,IL,60659,712,false
2022-01,2021-01,Naperville,IL,60564,178,true
2022-01,2021-06,Chicago,IL,60628,32,false
2022-01,2016-11,La Grange Park,IL,60526,0,true
2022-01,2022-01,Chicago,IL,60622,0,false
2022-01,2022-01,Chicago,IL,60622,0,false
2022-01,2022-01,Chicago,IL,60622,0,false
2022-01,2022-01,Chicago,IL,60622,0,false
2022-01,2022-01,Chicago,IL,60622,0,false
2022-01,2022-01,Chicago,IL,60622,0,false
2022-01,2022-01,Chicago,IL,60622,0,false
2022-01,2022-01,Chicago,IL,60622,0,false
2022-01,2022-01,Chicago,IL,60622,0,false
2022-01,2022-01,Chicago,IL,60622,0,false
2022-01,2021-11,Chicago,IL,60647,17,false
2022-01,2021-10,Wisconsin Dells,WI,53965,0,true
2022-01,2017-09,,IL,,30,true
2022-01,2021-10,Chicago,IL,60606,221,false
2022-01,2014-04,Lombard,IL,60148,0,false
2022-01,2017-06,Addison,IL,60101,23,false
2022-01,2016-04,Waukegan,IL,60085,0,false
2022-01,2021-12,Elgin,IL,60120,286,false
2022-01,2017-01,Chicago,IL,60617,116,false
2022-01,2021-11,Chicago,IL,60647,271,false
2022-01,2021-12,Chicago,IL,60647,333,false
2022-01,2021-08,Roselle,IL,60172,36,false
2022-01,2021-02,Chicago,IL,60618,66,false
2022-01,2015-09,Chicago,IL,60607,84,false
2022-01,2021-03,Chicago,IL,60639,34,false
2022-01,2021-10,Chicago,IL,60659,143,false
2022-01,2021-05,Plainfeild,IL,60586,7,false
2022-01,2021-11,Lincolnshire,IL,60069,142,false
2022-01,2021-01,Lk In The Hls,IL,60156,0,false
2022-01,2015-11,Chicago,IL,60613,66,false
2022-01,2019-10,Hanover Park,IL,60133,56,false
2022-01,2022-01,,IL,,153,false
2022-01,2021-12,Chicago,IL,60632,107,true
2022-01,2021-12,Oak Creek,WI,53154,0,false
2022-01,2018-02,Chicago,IL,60656,195,false
2022-01,2017-01,Berwyn,IL,60402,58,true
2022-01,2021-11,Villa Park,IL,60181,17,false
2022-01,2022-01,Chicago,IL,60640,4,false
2022-01,2021-11,St Louis,MO,63119,209,false
2022-01,2021-09,Palos Heights,IL,60463,10,false
2022-01,2014-10,Desplaines,IL,60016,8,false
2022-01,2021-04,Melrose,IL,60160,352,false
2022-01,2022-01,Skokie,IL,60077,53,false
2022-01,2016-10,Bloomingdale,IL,60108,117,false
2022-01,2021-08,Tinley Park,IL,60477,221,false
2022-01,2018-02,Chicago,IL,60639,0,false
2022-01,2018-02,Chicago,IL,60639,0,false
2022-01,2019-08,San Francisco,CA,94121,0,false
2022-01,2015-11,Chicago,IL,60616,28,false
2022-01,2021-11,Chicago,IL,60629,406,false
2022-01,2021-02,Chicago,IL,60613,48,false
2022-01,2015-10,Chicago,IL,60649,2,true
2022-01,2019-04,,OH,,177,false
2022-01,2021-04,Chicago,IL,60643,302,false
2022-01,2016-07,Chicago,IL,60660,4,true
2022-01,2021-11,Chicago,IL,60652,185,true
2022-01,2021-10,Watseka,IL,60970,3,false
2022-01,2022-01,Oak Lawn,IL,60453,113,false
2022-01,2021-10,Franklin,WI,53132,0,false
2022-01,2021-10,Des Plaines,IL,60016,249,false
2022-01,2018-06,Milwaukee,WI,53221,0,true
2022-01,2021-10,Robbins,IL,60472,0,false
2022-01,2021-10,Robbins,IL,60472,0,false
2022-01,2021-10,Robbins,IL,60472,0,false
2022-01,2021-10,Robbins,IL,60472,0,false
2022-01,2021-02,Chicago,IL,60617,138,false
2022-01,2017-11,Arlington Heights,IL,60004,0,false
2022-01,2021-06,Winnebago,IL,61088,0,false
2022-01,2015-10,Parkridge,IL,60068,0,false
2022-01,2021-09,Rolling Meadown,IL,60008,3,false
2022-01,2021-10,Berwyn,IL,60402,34,false
2022-01,2021-05,Wheaton,IL,60187,146,false
2022-01,2021-05,Aurora,IL,60503,0,false
2022-01,2021-05,Aurora,IL,60503,0,false
2022-01,2021-10,Chicago,IL,60641,251,false
2022-01,2021-11,,IL,,122,false
2022-01,2021-11,Dolton,IL,60419,82,false
2022-01,2018-01,Mount Prospect,IL,60056,16,false
2022-01,2021-12,Danville,IL,61832,0,false
2022-01,2021-10,Chicago,IL,60637,293,false
2022-01,2021-11,Burbank,IL,60459,45,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60617,0,false
2022-01,2021-11,Chicago,IL,60629,101,false
2022-01,2021-06,,WA,,0,false
2022-01,2021-11,Chicago,IL,60620,25,false
2022-01,2021-11,Chicago,IL,60620,25,false
2022-01,2021-03,Romeoville,IL,60446,27,false
2022-01,2017-06,Bronx,NY,10458,90,true
2022-01,2016-11,Carpentersville,IL,60110,2,true
2022-01,2021-06,Chicago,IL,60626,392,false
2022-01,2021-01,Elmhurst,IL,60126,0,false
2022-01,2021-01,Elmhurst,IL,60126,0,false
2022-01,2019-11,Matteson,IL,60443,0,false
2022-01,2021-01,Chicago,IL,60639,0,false
2022-01,2021-01,Chicago,IL,60639,0,false
2022-01,2021-01,Chicago,IL,60639,0,false
2022-01,2021-01,Chicago,IL,60639,0,false
2022-01,2021-04,Chicago,IL,60656,0,false
2022-01,2021-04,Chicago,IL,60656,0,false
2022-01,2021-12,Chicago,IL,60641,11,false
2022-01,2022-01,Chicago,IL,60617,46,false
2022-01,2019-01,Des Plaines,IL,60016,96,true
2022-01,2020-12,Chicago,IL,60608,213,false
2022-01,2021-09,,NY,,0,false
2022-01,2021-09,,NY,,0,false
2022-01,2021-09,Spokane,WA,99207,315,false
2022-01,2018-09,Chicago,IL,60623,0,true
2022-01,2022-01,Lockport,IL,60441,0,false
2022-01,2022-01,Lockport,IL,60441,0,false
2022-01,2022-01,Lockport,IL,60441,0,false
2022-01,2022-01,Lockport,IL,60441,0,false
2022-01,2020-02,Chicago,IL,60601,153,false
2022-01,2021-04,Chicago,IL,60617,85,false
2022-01,2020-06,Mount Prospect,IL,60056,4,false
2022-01,2021-09,Normal,IL,61761,0,false
2022-01,2021-12,S Richmond Hl,NY,11419,9,false
2022-01,2021-12,Elmwood Park,IL,60707,165,false
2022-01,2022-01,Glen Burnie,MD,21061,0,false
2022-01,2014-12,Plainfield,IL,60585,38,true
2022-01,2021-05,Chicago,IL,60634,152,false
